Data Venda;Data Envio;ID Loja;ID Produto;ID Cliente;No. Venda;Custo Unitário;Preço Unitário;Quantidade;Valor Desconto;Valor Venda;Produto;Fabricante;Marca;Classe;Cor
09/05/2008 00:00;29/05/2008 00:00;199;384;18839;200805093CS607;348,58;758;6;0;4548;Adventure Works Laptop15.4W M1548 Red;Adventure Works;Adventure Works;Regular;Red
12/05/2008 00:00;17/05/2008 00:00;306;384;19051;200805123CS567;348,58;758;6;0;4548;Adventure Works Laptop15.4W M1548 Red;Adventure Works;Adventure Works;Regular;Red
14/05/2008 00:00;20/05/2008 00:00;306;384;19052;200805143CS576;348,58;758;6;0;4548;Adventure Works Laptop15.4W M1548 Red;Adventure Works;Adventure Works;Regular;Red
21/05/2008 00:00;27/05/2008 00:00;306;384;19052;200805213CS576;348,58;758;6;0;4548;Adventure Works Laptop15.4W M1548 Red;Adventure Works;Adventure Works;Regular;Red
20/06/2008 00:00;27/06/2008 00:00;306;384;19053;200806203CS586;348,58;758;6;0;4548;Adventure Works Laptop15.4W M1548 Red;Adventure Works;Adventure Works;Regular;Red
12/07/2008 00:00;20/07/2008 00:00;306;384;19054;200807123CS588;348,58;758;6;0;4548;Adventure Works Laptop15.4W M1548 Red;Adventure Works;Adventure Works;Regular;Red
14/08/2008 00:00;21/08/2008 00:00;307;384;19103;200808143CS628;348,58;758;6;0;4548;Adventure Works Laptop15.4W M1548 Red;Adventure Works;Adventure Works;Regular;Red
29/09/2008 00:00;09/10/2008 00:00;307;384;19106;200809293CS637;348,58;758;6;0;4548;Adventure Works Laptop15.4W M1548 Red;Adventure Works;Adventure Works;Regular;Red
09/10/2008 00:00;19/10/2008 00:00;307;384;19106;200810093CS637;348,58;758;6;0;4548;Adventure Works Laptop15.4W M1548 Red;Adventure Works;Adventure Works;Regular;Red
16/10/2008 00:00;27/10/2008 00:00;307;384;19107;200810163CS646;348,58;758;6;0;4548;Adventure Works Laptop15.4W M1548 Red;Adventure Works;Adventure Works;Regular;Red
21/10/2008 00:00;01/11/2008 00:00;307;384;19107;200810213CS646;348,58;758;6;0;4548;Adventure Works Laptop15.4W M1548 Red;Adventure Works;Adventure Works;Regular;Red
02/05/2009 00:00;14/05/2009 00:00;199;384;18938;200905023CS847;348,58;758;6;0;4548;Adventure Works Laptop15.4W M1548 Red;Adventure Works;Adventure Works;Regular;Red
16/05/2009 00:00;27/05/2009 00:00;306;384;19067;200905163CS746;348,58;758;6;0;4548;Adventure Works Laptop15.4W M1548 Red;Adventure Works;Adventure Works;Regular;Red
31/05/2009 00:00;12/06/2009 00:00;306;384;19068;200905313CS748;348,58;758;6;0;4548;Adventure Works Laptop15.4W M1548 Red;Adventure Works;Adventure Works;Regular;Red
28/06/2009 00:00;11/07/2009 00:00;199;384;18959;200906283CS870;348,58;758;6;0;4548;Adventure Works Laptop15.4W M1548 Red;Adventure Works;Adventure Works;Regular;Red
